county_ansi,year,pcp04,pcp05,pcp06,pcp07,pcp08,pcp09,tmp04,tmp05,tmp06,tmp07,tmp08,tmp09,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,zndx07,zndx08,zndx_jja,pdsi_may,pcp_grow,pcp_critical,pcp_summer,tmp_grow,tmp_critical,tmp_summer,tmax_critical,tmax_summer,tmp_range_crit,pcp_grow_cv,tmp_grow_sd,pdsi_critical,zndx_critical,drought_flag,severe_drought,hot_month_count,dry_month_count,heat_x_dry,pcp_grow_anom,pcp_grow_z,pcp_critical_anom,pcp_critical_z,pcp08_anom,pcp08_z,tmp_grow_anom,tmp_grow_z,tmp_critical_anom,tmp_critical_z,tmax_critical_anom,tmax_critical_z,tmax08_anom,tmax08_z,pdsi08_anom,pdsi08_z,zndx08_anom,zndx08_z,climate_normal_pcp,climate_normal_tmax
001,1980,1.93,3.52,3.33,2.87,6.29,5.86,51.6,64.5,72.2,81.5,78.7,68.7,5.59,3.9,40.5,53.1,56.8,40.2,93.4,90.1,89.03,-3.13,-3.27,0.58,-1.94,-1.36,1.74,-0.09,-3.25,23.8,9.16,12.49,69.53333333333333,80.1,77.46666666666665,91.75,89.03,43.25,0.43575006133363114,10.788635996578375,-1.345,0.18999999999999995,0,0,2,0,-159.645,-0.6999999999999993,-0.10987538930145672,1.1706521739130435,0.3659652406097301,2.671521739130435,1.238645295020522,1.5391304347826065,1.0951987471820317,4.522826086956513,2.094966258997486,5.819565217391315,2.1171392519275067,5.010869565217391,1.6133261691679324,0.059347826086956545,0.023099877995939752,1.6108695652173912,0.7450419944686475,7.989347826086957,85.93043478260869
001,1981,5.24,7.23,6.79,12.81,2.95,1.91,59.3,58.8,72.8,76.0,72.3,65.9,2.73,3.77,47.8,48.8,54.4,42.4,84.6,82.1,83.27,1.99,4.21,3.97,3.39,7.26,0.57,3.4,1.34,36.93,15.760000000000002,22.55,67.51666666666667,74.15,73.7,83.35,83.27,34.949999999999996,0.6291459491145976,7.333053024945794,4.09,3.915,0,0,0,0,-47.509499999999996,12.43,1.951072984310155,7.770652173913045,2.4292344522924427,-0.668478260869565,-0.3099385045315407,-0.47753623188405925,-0.33980036459178997,-1.4271739130434753,-0.6610648156846187,-2.580434782608691,-0.9387539380044608,-2.9891304347826093,-0.9623963048181813,3.4493478260869566,1.3425852167090693,0.4408695652173913,0.20390623006510353,7.989347826086957,85.93043478260869
001,1982,3.16,4.89,4.93,6.92,3.79,2.89,47.9,67.2,67.3,76.8,72.0,65.4,8.72,4.84,37.3,57.0,55.4,44.1,86.6,81.9,81.83,2.83,3.39,3.51,3.24,2.56,1.42,1.76,2.66,26.58,10.71,15.64,66.10000000000001,74.4,72.03333333333333,84.25,81.83,34.5,0.3356652310992364,9.835446100711447,3.45,1.99,0,0,0,0,-119.63499999999999,2.0799999999999983,0.32648687106718577,2.7206521739130443,0.8505208888079431,0.1715217391304349,0.07952568457736126,-1.8942028985507164,-1.3478575918709146,-1.1771739130434753,-0.5452651906979754,-1.6804347826086854,-0.6113368105117482,-3.189130434782598,-1.0267893666678305,2.9893478260869566,1.1635400085061076,1.2908695652173912,0.5970390503582764,7.989347826086957,85.93043478260869
001,1983,6.81,3.78,1.52,1.06,1.98,3.37,46.4,59.2,72.9,81.4,81.5,68.2,4.45,10.81,38.3,48.9,55.5,46.0,93.4,94.0,90.43,-0.77,-1.72,-2.73,-1.74,-3.09,-3.58,-2.99,0.02,18.52,3.04,4.5600000000000005,68.26666666666667,81.45,78.60000000000001,93.7,90.43,42.95,0.6828207571729267,13.634026062270333,-2.225,-3.335,1,0,2,2,335.446,-5.98,-0.93864975431816,-4.949347826086957,-1.5472480284051486,-1.6384782608695652,-0.7596769133834872,0.27246376811594075,0.19387699102657371,5.872826086956522,2.7202842339253634,7.7695652173913174,2.826543028161714,8.910869565217396,2.8689908752361646,-3.2506521739130436,-1.265247163638414,-3.7091304347826086,-1.7155069513662704,7.989347826086957,85.93043478260869
001,1984,4.74,5.8,3.72,5.52,0.77,4.73,50.8,60.5,75.2,74.9,76.4,64.6,6.95,9.55,42.6,49.9,53.7,46.9,86.1,88.4,86.67,2.26,2.49,1.45,2.07,1.41,-2.37,-0.52,2.74,25.28,6.289999999999999,10.01,67.06666666666666,75.65,75.50000000000001,87.25,86.67,36.95,0.43594887779490027,10.28040206736423,1.9700000000000002,-0.4800000000000001,0,0,1,1,206.7825,0.7800000000000011,0.12243257665019494,-1.6993478260869574,-0.5312442499250254,-2.848478260869565,-1.320690804837977,-0.9275362318840621,-0.6600067779628102,0.0728260869565247,0.03373293423524094,1.3195652173913146,0.4800536144639538,3.310869565217402,1.065985143445887,0.9293478260869565,0.36172885872762783,-2.4991304347826087,-1.15587081894893,7.989347826086957,85.93043478260869
001,1985,1.14,3.79,3.14,5.96,4.99,3.29,58.0,65.4,69.0,75.4,70.6,67.0,10.25,7.23,47.0,54.5,56.8,45.9,86.6,80.1,82.03,1.75,2.08,2.56,2.13,1.54,2.09,1.0,2.18,22.310000000000002,10.95,14.09,67.56666666666666,73.0,71.66666666666667,83.35,82.03,32.0,0.4470046015610347,5.816413557052719,2.3200000000000003,1.815,0,0,0,0,-174.20149999999998,-2.1899999999999977,-0.34375300367170036,2.9606521739130427,0.9255488601418593,1.371521739130435,0.6359030975900786,-0.4275362318840621,-0.3042218742172344,-2.577173913043481,-1.1937430906231803,-2.580434782608691,-0.9387539380044608,-4.989130434782609,-1.6063269233147097,2.0393478260869564,0.7937727306956436,1.960869565217391,0.9069202145893657,7.989347826086957,85.93043478260869
001,1986,1.92,5.26,4.17,7.49,1.49,9.88,57.2,64.9,74.8,78.6,69.9,69.9,2.98,13.17,44.4,54.9,59.4,46.4,88.2,81.2,84.87,1.8,2.53,2.0,2.11,2.74,-0.79,0.59,2.07,30.21,8.98,13.15,69.21666666666665,74.25,74.43333333333332,84.7,84.87,31.800000000000004,0.643998908145972,7.5258000682098,2.2649999999999997,0.9750000000000001,0,0,1,1,66.91300000000001,5.710000000000001,0.8962692470161695,0.9906521739130438,0.3096942621092926,-2.1284782608695654,-0.9868643570303468,1.2224637681159294,0.8698683081431596,-1.327173913043481,-0.6147449656899641,-1.2304347826086826,-0.4476282467653918,-3.889130434782601,-1.2521650831416162,1.4793478260869566,0.5758046511442123,-0.9191304347826087,-0.42510628240397325,7.989347826086957,85.93043478260869
001,1987,2.14,2.7,2.77,4.4,6.25,2.31,54.6,68.8,75.5,79.2,75.6,66.8,4.94,3.65,42.4,56.6,54.8,37.1,89.8,86.4,87.5,-1.96,-1.87,-0.99,-1.61,-0.32,2.05,0.0,-1.55,20.569999999999997,10.65,13.42,70.08333333333334,77.4,76.76666666666667,88.1,87.5,42.14999999999999,0.46633949443545514,8.888738193167052,-1.4300000000000002,0.8649999999999999,0,0,1,0,-180.60499999999996,-3.9300000000000033,-0.616871828506751,2.6606521739130438,0.8317638959744637,2.631521739130435,1.2200993812534315,2.089130434782618,1.4865621413021732,1.8228260869565247,0.8443303091417438,2.169565217391309,0.7892809015404006,1.310869565217402,0.4220545249493585,-1.5106521739130434,-0.5879892021750376,1.920869565217391,0.8884198465755693,7.989347826086957,85.93043478260869
001,1988,1.33,2.11,2.4,0.68,3.24,1.55,52.8,65.8,74.5,78.5,79.2,68.8,4.94,7.01,40.2,52.2,55.8,37.9,91.1,91.3,90.07,-2.49,-3.33,-3.67,-3.16,-3.29,-2.04,-2.46,-2.01,11.31,3.9200000000000004,6.32,69.93333333333334,78.85,77.39999999999999,91.19999999999999,90.07,44.349999999999994,0.4759274164180337,9.920013440851111,-3.5,-2.665,1,1,2,1,186.04799999999997,-13.19,-2.0703662641231655,-4.069347826086956,-1.2721454668474534,-0.37847826086956493,-0.17548062972013403,1.9391304347826122,1.3798266701784965,3.2728260869565133,1.5159681340642694,5.269565217391303,1.9170510073486238,6.2108695652173935,1.9996845402658503,-4.190652173913043,-1.6311221543140306,-2.1691304347826086,-1.0032427828351098,7.989347826086957,85.93043478260869
001,1989,2.66,3.16,2.03,3.25,4.31,3.43,53.1,60.5,70.7,77.7,74.2,63.4,3.36,5.36,41.4,49.2,52.5,45.1,88.6,85.3,85.23,-4.62,-4.45,-3.87,-4.31,-0.9,0.35,-0.76,-4.51,18.84,7.56,9.59,66.6,75.95,74.2,86.94999999999999,85.23,38.14999999999999,0.24370861744852215,9.246404706695463,-4.16,-0.275,1,1,1,0,-30.432499999999994,-5.66,-0.8884210049232082,-0.429347826086957,-0.13422123494971544,0.6915217391304345,0.3206225635495385,-1.3942028985507307,-0.9920726881253489,0.37282608695652186,0.17269248421921155,1.0195652173913032,0.37091457196637945,0.21086956521739353,0.06789268477626513,-4.390652173913043,-1.7089678970109705,0.2208695652173913,0.10215420598922346,7.989347826086957,85.93043478260869
001,1990,2.22,7.83,7.28,4.51,2.6,2.28,51.2,58.7,72.7,75.7,74.5,69.5,9.39,1.35,40.2,49.0,58.3,40.9,85.6,84.6,84.3,2.37,2.38,2.07,2.27,0.75,-0.18,1.13,1.6,26.720000000000006,7.109999999999999,14.389999999999999,67.05,75.1,74.3,85.1,84.3,35.5,0.5728568777021604,9.891359866064928,2.2249999999999996,0.28500000000000003,0,0,0,0,15.317999999999998,2.220000000000006,0.34846194892747834,-0.8793478260869572,-0.2748986812008095,-1.018478260869565,-0.4722152499935833,-0.9442028985507278,-0.6718662747543287,-0.47717391304348666,-0.22102624073537952,-0.8304347826086911,-0.30210952343530134,-0.4891304347826093,-0.15748303169752073,1.5493478260869564,0.6030506610881411,-0.3091304347826087,-0.1429756701935785,7.989347826086957,85.93043478260869
001,1991,4.35,12.35,1.19,3.86,2.06,3.21,56.8,68.4,76.0,76.8,74.6,66.7,5.1,6.89,46.1,59.1,55.7,44.4,87.3,85.5,86.4,-0.98,-1.05,-1.59,-1.21,-0.52,-1.96,-1.8,3.05,27.02,5.92,7.109999999999999,69.88333333333334,75.69999999999999,75.8,86.4,86.4,36.35000000000001,0.8917122745895938,7.62900168217747,-1.32,-1.24,0,0,0,1,169.344,2.5199999999999996,0.3955514014852446,-2.0693478260869567,-0.6469123723981469,-1.558478260869565,-0.722585085849306,1.889130434782615,1.3442481798039407,0.12282608695650765,0.05689285923256169,0.4695652173913203,0.17082632738750697,0.41086956521739637,0.13228574662591888,-2.1106521739130435,-0.821526430265857,-2.0891304347826085,-0.9662420468075171,7.989347826086957,85.93043478260869
001,1992,3.91,0.69,0.98,8.53,1.1,3.98,51.5,61.9,69.9,74.0,68.6,64.7,4.06,5.2,40.8,50.3,53.4,42.7,83.0,79.4,81.27,-2.06,1.08,0.47,-0.17,3.24,-1.51,-0.36,-1.26,19.189999999999998,9.629999999999999,10.61,65.1,71.3,70.83333333333333,81.2,81.27,33.150000000000006,0.9396533774900562,7.8722296714463305,0.775,0.8650000000000001,0,0,0,1,122.61200000000001,-5.310000000000002,-0.8334833102724801,1.6406521739130424,0.5128950178053169,-2.518478260869565,-1.1676870162594797,-2.8942028985507307,-2.059427399362076,-4.277173913043484,-1.981180540532356,-4.7304347826086826,-1.7209170759037107,-5.689130434782598,-1.831702639788491,-0.05065217391304344,-0.019715280487377126,-1.6391304347826088,-0.758112906652308,7.989347826086957,85.93043478260869
001,1993,4.77,3.04,6.79,8.58,5.07,9.74,49.8,63.4,71.3,76.1,76.0,61.5,6.9,11.15,40.4,53.3,52.5,41.8,84.4,85.5,83.73,2.73,3.76,4.16,3.55,3.92,2.36,2.92,2.12,37.99,13.65,20.44,66.35000000000001,76.05,74.46666666666665,84.95,83.73,37.800000000000004,0.3979711651731654,10.186412518644628,3.96,3.1399999999999997,0,0,0,0,-200.482,13.490000000000002,2.117455716680933,5.660652173913044,1.7696135376484239,1.4515217391304351,0.6729949251242597,-1.6442028985507164,-1.1699651399981268,0.4728260869565162,0.2190123342138662,-0.9804347826086826,-0.35667904468408335,0.41086956521739637,0.13228574662591888,3.639347826086957,1.4165386722711621,2.2308695652173913,1.0317976986824913,7.989347826086957,85.93043478260869
001,1994,7.05,3.21,4.44,2.17,3.18,1.68,53.1,61.5,74.4,74.3,72.3,65.8,3.67,3.72,41.6,50.0,54.6,46.9,84.6,83.9,84.3,2.78,2.13,1.82,2.24,-1.08,-0.27,-0.42,3.06,21.729999999999997,5.35,9.790000000000001,66.9,73.3,73.66666666666667,84.25,84.3,33.5,0.5334841102077315,8.496822935662482,1.975,-0.675,0,0,0,1,22.747500000000002,-2.770000000000003,-0.43479261195005114,-2.639347826086957,-0.8251038043161993,-0.438478260869565,-0.20329950037076994,-1.0942028985507193,-0.7786017458779954,-2.277173913043484,-1.0547835406392096,-1.6804347826086854,-0.6113368105117482,-1.189130434782598,-0.382858748171302,1.2993478260869566,0.5057434827169665,-0.3991304347826087,-0.18460149822462035,7.989347826086957,85.93043478260869
001,1995,4.81,10.88,2.66,2.97,8.63,2.72,49.8,59.2,71.6,76.8,78.9,62.3,5.02,6.63,38.9,50.2,51.7,43.8,87.4,88.5,85.77,2.38,1.85,3.09,2.44,-0.83,4.27,0.76,3.08,32.67,11.600000000000001,14.260000000000002,66.43333333333332,77.85,75.76666666666667,87.95,85.77,40.2,0.6435475024872253,11.275223575019108,2.4699999999999998,1.7199999999999998,0,0,1,0,-375.5465,8.170000000000002,1.282402757989861,3.610652173913045,1.1287496158378847,5.011521739130435,2.323581250395321,-1.560869565217402,-1.1106676560405442,2.2728260869565133,1.0527696341176964,2.0195652173913174,0.7347113802916186,3.4108695652173964,1.0981816743707116,2.5693478260869567,1.0000639488425342,4.140869565217391,1.9151902713412678,7.989347826086957,85.93043478260869
001,1996,2.13,9.92,3.21,2.64,3.14,2.74,49.2,62.1,71.7,73.4,73.6,63.7,4.82,2.29,37.4,52.7,52.7,43.8,83.8,83.9,82.97,-0.22,-0.44,-0.52,-0.39,-0.72,-0.38,-0.59,2.23,23.78,5.78,8.99,65.61666666666666,73.5,72.9,83.85,82.97,35.599999999999994,0.7428129685055813,9.453764682213464,-0.48,-0.55,0,0,0,0,31.863,-0.7199999999999989,-0.11301468613864114,-2.2093478260869563,-0.6906786890095983,-0.478478260869565,-0.22184541413786052,-2.377536231884065,-1.691782998824982,-2.077173913043481,-0.9621438406498938,-2.080434782608691,-0.7568555338418438,-1.189130434782598,-0.382858748171302,-1.0406521739130434,-0.4050517068372291,-0.5091304347826087,-0.23547751026256036,7.989347826086957,85.93043478260869
001,1997,3.37,3.93,1.98,1.83,4.08,1.5,48.0,58.0,71.4,76.2,72.4,67.4,8.98,2.57,37.6,47.0,56.0,44.4,86.9,82.6,83.5,-0.58,-1.11,-0.93,-0.87,-1.78,0.19,-1.11,0.23,16.69,5.91,7.890000000000001,65.56666666666666,74.30000000000001,73.33333333333334,84.75,83.5,34.55,0.4111951950505638,10.611251889700231,-1.02,-0.795,0,0,0,1,-16.1025,-7.809999999999999,-1.2258954149205397,-2.0793478260869565,-0.6500385378703933,0.4615217391304349,0.21398355938876792,-2.427536231884062,-1.7273614891995375,-1.2771739130434696,-0.5915850406926301,-1.1804347826086854,-0.42943840634913116,-2.4891304347826093,-0.8014136501940492,-1.4506521739130434,-0.5646354793659556,0.060869565217391314,0.028152733934037968,7.989347826086957,85.93043478260869
001,1998,4.91,5.04,8.96,2.59,1.53,4.53,52.6,67.5,71.7,76.4,76.1,71.6,10.46,3.97,43.3,57.9,61.2,46.3,85.4,86.3,84.27,3.01,2.43,1.54,2.33,-0.81,-1.92,0.56,1.73,27.560000000000002,4.12,13.08,69.31666666666668,76.25,74.73333333333333,85.85,84.27,32.099999999999994,0.5573374001611884,8.829816910144096,1.985,-1.365,0,0,0,1,164.832,3.0600000000000023,0.480312416089226,-3.8693478260869565,-1.209622157402523,-2.0884782608695653,-0.9683184432632562,1.3224637681159521,0.941025288892291,0.672826086956519,0.31165203420318216,-0.08043478260869108,-0.02926191719137585,1.2108695652173935,0.3898579940245293,1.0193478260869566,0.39675944294125076,-2.0491304347826085,-0.9477416787937207,7.989347826086957,85.93043478260869
