state,state_ansi,county,county_ansi,fips5,ag_district,ag_district_code,year,produced_soy,acres_planted,acres_harvested,production_bu,yield_bu_ac,yield_kg_ha,production_tonnes,area_harvested_ha
ILLINOIS,17,ADAMS,001,17001,WEST,30,1980,1.0,126800,126000,4070000,32.5,2185.6563668250924,110767.085,50990.390892
ILLINOIS,17,ADAMS,001,17001,WEST,30,1981,1.0,130500,129000,4644700,36.0,2421.034744790871,126407.83284999999,52204.447818
ILLINOIS,17,ADAMS,001,17001,WEST,30,1982,1.0,128400,125800,4636100,37.0,2488.285709923951,126173.77954999999,50909.4537636
ILLINOIS,17,ADAMS,001,17001,WEST,30,1983,1.0,124100,123500,2865400,23.0,1546.7721980608344,77983.29370000001,49978.676787000004
ILLINOIS,17,ADAMS,001,17001,WEST,30,1984,1.0,136600,135000,3877000,28.5,1916.652506292773,105514.4935,54632.56167
ILLINOIS,17,ADAMS,001,17001,WEST,30,1985,1.0,135400,133000,5206600,39.0,2622.787640190111,141700.2223,53823.190386
ILLINOIS,17,ADAMS,001,17001,WEST,30,1986,1.0,138500,136100,4961400,36.5,2454.6602273574113,135026.98169999997,55077.7158762
ILLINOIS,17,ADAMS,001,17001,WEST,30,1987,1.0,131000,130100,4806300,37.0,2488.285709923951,130805.85764999999,52649.6020242
ILLINOIS,17,ADAMS,001,17001,WEST,30,1988,1.0,129200,128600,3491800,27.0,1815.7760585931535,95031.0829,52042.5735612
ILLINOIS,17,ADAMS,001,17001,WEST,30,1989,1.0,113200,112900,3251800,29.0,1950.277988859313,88499.3629,45689.0089818
ILLINOIS,17,ADAMS,001,17001,WEST,30,1990,1.0,122600,120400,4021300,33.5,2252.907331958172,109441.69015,48724.1512968
ILLINOIS,17,ADAMS,001,17001,WEST,30,1991,1.0,113000,112000,4088000,36.5,2454.6602273574113,111256.964,45324.791904
ILLINOIS,17,ADAMS,001,17001,WEST,30,1992,1.0,120000,118800,4573800,38.5,2589.1621576235707,124478.2539,48076.6542696
ILLINOIS,17,ADAMS,001,17001,WEST,30,1993,1.0,127000,105000,4200000,40.0,2690.0386053231905,114305.1,42491.99241
ILLINOIS,17,ADAMS,001,17001,WEST,30,1994,1.0,114000,113100,5202600,46.0,3093.544396121669,141591.36029999997,45769.9461102
ILLINOIS,17,ADAMS,001,17001,WEST,30,1995,1.0,128000,127400,4841200,38.0,2555.536675057031,131755.67859999998,51556.9507908
ILLINOIS,17,ADAMS,001,17001,WEST,30,1996,1.0,126000,125800,5032000,40.0,2690.0386053231905,136948.396,50909.4537636
ILLINOIS,17,ADAMS,001,17001,WEST,30,1997,1.0,133000,132500,5962500,45.0,3026.293430988589,162272.41875,53620.847565000004
ILLINOIS,17,ADAMS,001,17001,WEST,30,1998,1.0,135000,134800,5526800,41.0,2757.28957045627,150414.62540000002,54551.6245416
ILLINOIS,17,ADAMS,001,17001,WEST,30,1999,1.0,127000,126400,4424000,35.0,2353.7837796577915,120401.372,51152.265148800005
ILLINOIS,17,ADAMS,001,17001,WEST,30,2000,1.0,126000,125700,5907900,47.0,3160.7953612547485,160786.45244999998,50868.9851994
ILLINOIS,17,ADAMS,001,17001,WEST,30,2001,1.0,130000,129100,5680400,44.0,2959.0424658555094,154594.9262,52244.916382200005
ILLINOIS,17,ADAMS,001,17001,WEST,30,2002,1.0,128000,127700,6129600,48.0,3228.0463263878282,166820.12879999998,51678.3564834
ILLINOIS,17,ADAMS,001,17001,WEST,30,2003,1.0,123000,122700,5398800,44.0,2959.0424658555094,146931.04140000002,49654.9282734
ILLINOIS,17,ADAMS,001,17001,WEST,30,2004,1.0,125000,124600,6105400,49.0,3295.2972915209084,166161.51369999998,50423.830993200005
ILLINOIS,17,ADAMS,001,17001,WEST,30,2005,1.0,121000,120400,5177200,43.0,2891.7915007224296,140900.08659999998,48724.1512968
ILLINOIS,17,ADAMS,001,17001,WEST,30,2006,1.0,129000,128400,5521200,43.0,2891.7915007224296,150262.2186,51961.6364328
ILLINOIS,17,ADAMS,001,17001,WEST,30,2007,1.0,98000,97600,3611200,37.0,2488.285709923951,98280.6136,39497.3186592
ILLINOIS,17,ADAMS,001,17001,WEST,30,2008,1.0,110000,102100,4186100,41.0,2757.28957045627,113926.80455,41318.4040482
ILLINOIS,17,ADAMS,001,17001,WEST,30,2009,1.0,121000,120700,5672900,47.0,3160.7953612547485,154390.80995,48845.5569894
ILLINOIS,17,ADAMS,001,17001,WEST,30,2010,1.0,121000,119700,5833000,48.7,3275.1220019809844,158748.0115,48440.8713474
ILLINOIS,17,ADAMS,001,17001,WEST,30,2011,1.0,121000,120800,5006000,41.4,2784.189956509502,136240.793,48886.025553600004
ILLINOIS,17,ADAMS,001,17001,WEST,30,2012,1.0,122000,121300,4932000,40.7,2737.1142809163466,134226.846,49088.3683746
ILLINOIS,17,ADAMS,001,17001,WEST,30,2013,1.0,128000,127900,5574000,43.6,2932.1420798022777,151699.197,51759.2936118
ILLINOIS,17,ADAMS,001,17001,WEST,30,2014,1.0,125000,124400,6309000,50.7,3409.623932247144,171702.5895,50342.893864800004
ILLINOIS,17,ADAMS,001,17001,WEST,30,2015,1.0,120000,119700,6234000,52.1,3503.7752834334556,169661.427,48440.8713474
ILLINOIS,17,ADAMS,001,17001,WEST,30,2016,1.0,127500,127000,7213000,56.8,3819.85481955893,196305.4015,51395.076534
ILLINOIS,17,ADAMS,001,17001,WEST,30,2017,1.0,138000,137500,7688000,55.9,3759.3289509391584,209232.764,55644.275775
ILLINOIS,17,ADAMS,001,17001,WEST,30,2018,1.0,142000,136900,8117000,59.3,3987.9822323916296,220908.2135,55401.4643898
ILLINOIS,17,ADAMS,001,17001,WEST,30,2019,1.0,131000,130000,6473000,49.8,3349.0980636273716,176165.9315,52609.133460000005
ILLINOIS,17,ADAMS,001,17001,WEST,30,2020,1.0,134500,133900,7338000,54.8,3685.3528892927707,199707.339,54187.4074638
ILLINOIS,17,ADAMS,001,17001,WEST,30,2022,1.0,145500,145000,8874000,61.2,4115.759066144481,241510.347,58679.41809
ILLINOIS,17,ADAMS,001,17001,WEST,30,2023,1.0,139000,138400,8401000,60.7,4082.1335835779414,228637.4155,56008.4928528
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1980,1.0,48900,48500,1205400,25.0,1681.274128326994,32805.5637,19627.253637
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1981,1.0,47100,46500,1293400,28.0,1883.0270237262332,35200.5277,18817.882353
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1982,1.0,43900,43000,1295600,30.0,2017.5289539923929,35260.4018,17401.482606
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1983,1.0,46400,45500,974500,21.5,1445.8957503612148,26521.50475,18413.196711
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1984,1.0,42100,41000,1216800,29.5,1983.903471425853,33115.8204,16592.111322
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1985,1.0,37400,37000,1116500,30.0,2017.5289539923929,30386.10575,14973.368754000001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1986,1.0,38200,37900,1287000,34.0,2286.5328145247117,35026.3485,15337.585831800001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1987,1.0,35300,34800,990300,28.5,1916.652506292773,26951.50965,14083.060341600001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1988,1.0,35000,34700,907300,26.0,1748.5250934600738,24692.62315,14042.5917774
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1989,1.0,35700,35600,901600,25.5,1714.899610893534,24537.494799999997,14406.8088552
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1990,1.0,53100,47000,1362000,29.0,1950.277988859313,37067.511,19020.225174
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1991,1.0,38000,37000,1184000,32.0,2152.0308842585523,32223.152,14973.368754000001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1992,1.0,38000,37800,1266300,33.5,2252.907331958172,34462.987649999995,15297.1172676
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1993,1.0,37000,20000,600000,30.0,2017.5289539923929,16329.3,8093.71284
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1994,1.0,36000,35700,1320900,37.0,2488.285709923951,35948.953949999996,14447.277419400001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1995,1.0,31000,30700,844250,27.5,1849.4015411596934,22976.685875,12423.849209400001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1996,1.0,36000,34100,1091200,32.0,2152.0308842585523,29697.5536,13799.7803922
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1997,1.0,38000,37900,1421250,37.5,2521.911192490491,38680.029375,15337.585831800001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1998,1.0,39000,38400,1171200,30.5,2051.1544365589325,31874.793599999997,15539.928652800001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,1999,1.0,39000,38800,931200,24.0,1614.0231631939141,25343.073599999996,15701.802909600001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,2000,1.0,34000,33900,1254300,37.0,2488.285709923951,34136.40165,13718.843263800001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,2001,1.0,36000,35800,1253000,35.0,2353.7837796577915,34101.0215,14487.7459836
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,2002,1.0,40000,39800,1273600,32.0,2152.0308842585523,34661.6608,16106.488551600001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,2003,1.0,37000,36900,1402200,38.0,2555.536675057031,38161.5741,14932.9001898
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,2004,1.0,38000,37900,1705500,45.0,3026.293430988589,46416.03525,15337.585831800001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,2005,1.0,36000,35900,1436000,40.0,2690.0386053231905,39081.458,14528.2145478
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,2006,1.0,39000,38800,1707200,44.0,2959.0424658555094,46462.3016,15701.802909600001
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,2007,1.0,37000,36900,1328400,36.0,2421.034744790871,36153.070199999995,14932.9001898
ILLINOIS,17,ALEXANDER,003,17003,SOUTHWEST,80,2008,1.0,31000,29900,1196000,40.0,2690.0386053231905,32549.738,12100.1006958
