state,state_ansi,county,county_ansi,ag_district,ag_district_code,year,is_county_estimate,acres_planted,acres_harvested,production_bu,yield_bu_ac
ILLINOIS,17,ADAMS,001,WEST,30,1980,1,126800,126000,4070000,32.5
ILLINOIS,17,ADAMS,001,WEST,30,1981,1,130500,129000,4644700,36
ILLINOIS,17,ADAMS,001,WEST,30,1982,1,128400,125800,4636100,37
ILLINOIS,17,ADAMS,001,WEST,30,1983,1,124100,123500,2865400,23
ILLINOIS,17,ADAMS,001,WEST,30,1984,1,136600,135000,3877000,28.5
ILLINOIS,17,ADAMS,001,WEST,30,1985,1,135400,133000,5206600,39
ILLINOIS,17,ADAMS,001,WEST,30,1986,1,138500,136100,4961400,36.5
ILLINOIS,17,ADAMS,001,WEST,30,1987,1,131000,130100,4806300,37
ILLINOIS,17,ADAMS,001,WEST,30,1988,1,129200,128600,3491800,27
ILLINOIS,17,ADAMS,001,WEST,30,1989,1,113200,112900,3251800,29
ILLINOIS,17,ADAMS,001,WEST,30,1990,1,122600,120400,4021300,33.5
ILLINOIS,17,ADAMS,001,WEST,30,1991,1,113000,112000,4088000,36.5
ILLINOIS,17,ADAMS,001,WEST,30,1992,1,120000,118800,4573800,38.5
ILLINOIS,17,ADAMS,001,WEST,30,1993,1,127000,105000,4200000,40
ILLINOIS,17,ADAMS,001,WEST,30,1994,1,114000,113100,5202600,46
ILLINOIS,17,ADAMS,001,WEST,30,1995,1,128000,127400,4841200,38
ILLINOIS,17,ADAMS,001,WEST,30,1996,1,126000,125800,5032000,40
ILLINOIS,17,ADAMS,001,WEST,30,1997,1,133000,132500,5962500,45
ILLINOIS,17,ADAMS,001,WEST,30,1998,1,135000,134800,5526800,41
ILLINOIS,17,ADAMS,001,WEST,30,1999,1,127000,126400,4424000,35
ILLINOIS,17,ADAMS,001,WEST,30,2000,1,126000,125700,5907900,47
ILLINOIS,17,ADAMS,001,WEST,30,2001,1,130000,129100,5680400,44
ILLINOIS,17,ADAMS,001,WEST,30,2002,1,128000,127700,6129600,48
ILLINOIS,17,ADAMS,001,WEST,30,2003,1,123000,122700,5398800,44
ILLINOIS,17,ADAMS,001,WEST,30,2004,1,125000,124600,6105400,49
ILLINOIS,17,ADAMS,001,WEST,30,2005,1,121000,120400,5177200,43
ILLINOIS,17,ADAMS,001,WEST,30,2006,1,129000,128400,5521200,43
ILLINOIS,17,ADAMS,001,WEST,30,2007,1,98000,97600,3611200,37
ILLINOIS,17,ADAMS,001,WEST,30,2008,1,110000,102100,4186100,41
ILLINOIS,17,ADAMS,001,WEST,30,2009,1,121000,120700,5672900,47
ILLINOIS,17,ADAMS,001,WEST,30,2010,1,121000,119700,5833000,48.7
ILLINOIS,17,ADAMS,001,WEST,30,2011,1,121000,120800,5006000,41.4
ILLINOIS,17,ADAMS,001,WEST,30,2012,1,122000,121300,4932000,40.7
ILLINOIS,17,ADAMS,001,WEST,30,2013,1,128000,127900,5574000,43.6
ILLINOIS,17,ADAMS,001,WEST,30,2014,1,125000,124400,6309000,50.7
ILLINOIS,17,ADAMS,001,WEST,30,2015,1,120000,119700,6234000,52.1
ILLINOIS,17,ADAMS,001,WEST,30,2016,1,127500,127000,7213000,56.8
ILLINOIS,17,ADAMS,001,WEST,30,2017,1,138000,137500,7688000,55.9
ILLINOIS,17,ADAMS,001,WEST,30,2018,1,142000,136900,8117000,59.3
ILLINOIS,17,ADAMS,001,WEST,30,2019,1,131000,130000,6473000,49.8
ILLINOIS,17,ADAMS,001,WEST,30,2020,1,134500,133900,7338000,54.8
ILLINOIS,17,ADAMS,001,WEST,30,2022,1,145500,145000,8874000,61.2
ILLINOIS,17,ADAMS,001,WEST,30,2023,1,139000,138400,8401000,60.7
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1980,1,48900,48500,1205400,25
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1981,1,47100,46500,1293400,28
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1982,1,43900,43000,1295600,30
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1983,1,46400,45500,974500,21.5
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1984,1,42100,41000,1216800,29.5
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1985,1,37400,37000,1116500,30
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1986,1,38200,37900,1287000,34
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1987,1,35300,34800,990300,28.5
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1988,1,35000,34700,907300,26
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1989,1,35700,35600,901600,25.5
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1990,1,53100,47000,1362000,29
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1991,1,38000,37000,1184000,32
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1992,1,38000,37800,1266300,33.5
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1993,1,37000,20000,600000,30
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1994,1,36000,35700,1320900,37
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1995,1,31000,30700,844250,27.5
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1996,1,36000,34100,1091200,32
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1997,1,38000,37900,1421250,37.5
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1998,1,39000,38400,1171200,30.5
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,1999,1,39000,38800,931200,24
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2000,1,34000,33900,1254300,37
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2001,1,36000,35800,1253000,35
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2002,1,40000,39800,1273600,32
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2003,1,37000,36900,1402200,38
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2004,1,38000,37900,1705500,45
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2005,1,36000,35900,1436000,40
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2006,1,39000,38800,1707200,44
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2007,1,37000,36900,1328400,36
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2008,1,31000,29900,1196000,40
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2009,1,39000,38900,1594900,41
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2010,1,32000,31400,1250000,39.8
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2011,1,26000,25800,906000,35.1
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2016,1,34000,33900,1301000,38.4
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2017,1,34400,33600,1420000,42.3
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2020,1,33100,32900,1602000,48.7
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2021,1,38000,37700,2205000,58.5
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2022,1,41700,41600,2134000,51.3
ILLINOIS,17,ALEXANDER,003,SOUTHWEST,80,2025,1,34300,34100,1391000,40.8
