year,acres_planted,acres_harvested,production_bu,yield_bu_ac
1980,9400000,9350000,313225000,33.5
1981,9250000,9150000,347700000,38
1982,9250000,9200000,354200000,38.5
1983,9100000,9050000,266975000,29.5
1984,9200000,9020000,284130000,31.5
1985,9100000,9000000,382500000,42.5
1986,9050000,9000000,360000000,40
1987,8800000,8700000,330600000,38
1988,8800000,8700000,234900000,27
1989,8900000,8850000,354000000,40
1990,9200000,9100000,354900000,39
1991,9200000,9100000,341250000,37.5
1992,9500000,9430000,405490000,43
1993,9300000,9000000,387000000,43
1994,9500000,9430000,429065000,45.5
1995,9750000,9700000,378300000,39
1996,9900000,9850000,398925000,40.5
1997,10000000,9950000,427850000,43
1998,10600000,10550000,464200000,44
1999,10600000,10550000,443100000,42
2000,10500000,10450000,459800000,44
2001,10700000,10620000,477900000,45
2002,10600000,10550000,453650000,43
2003,10300000,10260000,379620000,37
2004,9950000,9900000,495000000,50
2005,9500000,9450000,439425000,46.5
2006,10100000,10050000,482400000,48
2007,8300000,8280000,360180000,43.5
2008,9200000,9120000,428640000,47
2009,9400000,9350000,430100000,46
2010,9100000,9050000,466075000,51.5
2011,8950000,8910000,423225000,47.5
2012,9050000,8930000,383990000,43
2013,9500000,9480000,474000000,50
2014,9800000,9770000,547120000,56
2015,9800000,9720000,544320000,56
2016,10100000,10050000,592950000,59
2017,10600000,10550000,611900000,58
2018,10800000,10500000,666750000,63.5
2019,9950000,9860000,532440000,54
2020,10300000,10250000,615000000,60
2021,10600000,10510000,683150000,65
2022,10800000,10750000,677250000,63
2023,10350000,10300000,648900000,63
2024,10800000,10750000,688000000,64
2025,10300000,10230000,639375000,62.5
