county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,zndx07,zndx08,zndx_jja,pdsi_may
001,1980,5.59,3.9,40.5,53.1,56.8,40.2,93.4,90.1,89.03,-3.13,-3.27,0.58,-1.94,-1.36,1.74,-0.09,-3.25
001,1981,2.73,3.77,47.8,48.8,54.4,42.4,84.6,82.1,83.27,1.99,4.21,3.97,3.39,7.26,0.57,3.4,1.34
001,1982,8.72,4.84,37.3,57,55.4,44.1,86.6,81.9,81.83,2.83,3.39,3.51,3.24,2.56,1.42,1.76,2.66
001,1983,4.45,10.81,38.3,48.9,55.5,46,93.4,94,90.43,-0.77,-1.72,-2.73,-1.74,-3.09,-3.58,-2.99,0.02
001,1984,6.95,9.55,42.6,49.9,53.7,46.9,86.1,88.4,86.67,2.26,2.49,1.45,2.07,1.41,-2.37,-0.52,2.74
001,1985,10.25,7.23,47,54.5,56.8,45.9,86.6,80.1,82.03,1.75,2.08,2.56,2.13,1.54,2.09,1,2.18
001,1986,2.98,13.17,44.4,54.9,59.4,46.4,88.2,81.2,84.87,1.8,2.53,2,2.11,2.74,-0.79,0.59,2.07
001,1987,4.94,3.65,42.4,56.6,54.8,37.1,89.8,86.4,87.5,-1.96,-1.87,-0.99,-1.61,-0.32,2.05,0,-1.55
001,1988,4.94,7.01,40.2,52.2,55.8,37.9,91.1,91.3,90.07,-2.49,-3.33,-3.67,-3.16,-3.29,-2.04,-2.46,-2.01
001,1989,3.36,5.36,41.4,49.2,52.5,45.1,88.6,85.3,85.23,-4.62,-4.45,-3.87,-4.31,-0.9,0.35,-0.76,-4.51
001,1990,9.39,1.35,40.2,49,58.3,40.9,85.6,84.6,84.3,2.37,2.38,2.07,2.27,0.75,-0.18,1.13,1.6
001,1991,5.1,6.89,46.1,59.1,55.7,44.4,87.3,85.5,86.4,-0.98,-1.05,-1.59,-1.21,-0.52,-1.96,-1.8,3.05
001,1992,4.06,5.2,40.8,50.3,53.4,42.7,83,79.4,81.27,-2.06,1.08,0.47,-0.17,3.24,-1.51,-0.36,-1.26
001,1993,6.9,11.15,40.4,53.3,52.5,41.8,84.4,85.5,83.73,2.73,3.76,4.16,3.55,3.92,2.36,2.92,2.12
001,1994,3.67,3.72,41.6,50,54.6,46.9,84.6,83.9,84.3,2.78,2.13,1.82,2.24,-1.08,-0.27,-0.42,3.06
001,1995,5.02,6.63,38.9,50.2,51.7,43.8,87.4,88.5,85.77,2.38,1.85,3.09,2.44,-0.83,4.27,0.76,3.08
001,1996,4.82,2.29,37.4,52.7,52.7,43.8,83.8,83.9,82.97,-0.22,-0.44,-0.52,-0.39,-0.72,-0.38,-0.59,2.23
001,1997,8.98,2.57,37.6,47,56,44.4,86.9,82.6,83.5,-0.58,-1.11,-0.93,-0.87,-1.78,0.19,-1.11,0.23
001,1998,10.46,3.97,43.3,57.9,61.2,46.3,85.4,86.3,84.27,3.01,2.43,1.54,2.33,-0.81,-1.92,0.56,1.73
001,1999,6.79,6.1,45.3,53.8,51.5,42.4,90.2,84.8,85.63,-0.37,-0.9,-1.51,-0.93,-1.71,-2.09,-1.38,-0.29
001,2000,5.87,3.36,41,54.6,55.7,47.4,83.5,86.1,83,0.95,0.97,1.24,1.05,0.34,1.12,1.44,-3.89
001,2001,8.51,2.99,46.1,54.6,54.2,43.5,87.3,85.9,84.4,1.38,0.83,1.11,1.11,-1.2,1.1,0.27,1.2
001,2002,5.38,3.31,42.9,49,56.7,41.9,88.9,85,86.17,1.95,1.77,2.01,1.91,0.07,1.28,0.44,2.18
001,2003,4.31,2.03,43.1,51.1,51.8,43.5,85.9,86.9,84,0.12,0.49,0.42,0.34,1.13,-0.04,0.48,-1.59
001,2004,4.46,6.49,43.3,55.4,55.3,45.6,82.6,79.4,80.4,-0.82,-0.77,2.08,0.16,-0.11,6.25,1.87,-0.71
001,2005,7.58,6.01,44.7,50.2,59.3,45.3,89.2,87.3,87.73,-1.92,-2.52,-2.38,-2.27,-2.4,-0.35,-1.51,-1.48
001,2006,6.3,3.07,45.2,52.8,53.2,41.1,89.7,86.3,86.27,-3.93,-3.98,-3.61,-3.84,-1.34,-0.15,-0.73,-4.13
001,2007,7.64,5.37,39,57.4,56.7,48.2,85.6,91.3,86.8,-1.94,-2.48,-2.78,-2.4,-2.23,-1.68,-1.47,-1.97
001,2008,9.21,4.8,40.6,48.8,56.5,43.5,85,83,83.67,2.69,3.25,2.81,2.92,2.52,-0.33,2.06,1.51
001,2009,7.43,4.23,40.9,52.1,55.1,41.5,80.7,80.8,81.6,3.82,3.36,4.51,3.9,-0.2,4.47,1.53,4.14
001,2010,5.9,6.92,47.5,53.3,56.8,44.1,87.3,87.4,86.7,5.15,6.49,6.05,5.9,5.61,0.69,3.57,4.1
001,2011,5.03,2.45,42.8,51.5,52.3,43.7,90.8,88.2,87,4.12,-0.72,-1.85,0.52,-2.15,-3.61,0.05,2.39
001,2012,3.34,8.48,43.6,56.6,53,42.5,95.5,88,89.83,-3.73,-4.44,-4.59,-4.25,-3.29,-1.83,-2.68,-3.08
001,2013,8.04,2.75,39.7,53.1,57.3,43.7,84.6,85.4,83.93,-0.32,-0.78,-1.93,-1.01,-1.48,-3.69,-2.05,3.96
001,2014,4.13,3.41,40.8,54.1,54.2,45.1,80.9,83.2,82.23,1.1,1.12,2.22,1.48,0.4,3.62,2.44,-2.94
001,2015,3.82,2.32,43.8,55.1,60.5,45.6,84.1,82.6,82.57,2.96,4.14,3.74,3.61,4.47,0.07,3.55,1.03
001,2016,2.65,12.11,43.3,52.4,60.8,50.4,85.1,84.3,85.77,-2.04,0.63,1.43,0.01,1.89,2.6,0.46,-1.11
001,2017,5.58,2.48,46.5,52.4,56.7,48.6,88.6,81.5,84.87,-0.89,-1.21,-0.76,-0.95,-1.26,0.98,-0.2,-0.87
001,2018,8.49,1.86,33.8,61.4,60.3,44,86.8,86.2,86.77,-2.01,-2.12,0.58,-1.18,-0.98,1.74,-0.44,-1.47
001,2019,9.07,4.68,42.7,53.1,62.9,42.7,88.1,82.7,84,4.15,3.3,3.61,3.69,-1.26,1.93,0.6,4.21
001,2020,7.65,3.07,39.1,51.6,55,41.8,86.5,83.7,84.9,3.18,3.42,2.46,3.02,1.69,-1.82,0.68,2.74
001,2021,7.7,4,42.4,51.9,58.5,51.4,83.8,85.4,84.53,2.3,2.78,2.41,2.5,2.15,-0.24,1.44,1.67
001,2022,6.53,1.93,39.2,55.2,56.3,40.9,85.5,85.2,85.07,1.41,1.67,-0.71,0.79,1.21,-2.14,-0.28,1.53
001,2023,7,3.36,40.6,53,57.2,46.6,87.4,84.2,85.57,-2.06,-2.32,-1.95,-2.11,-1.43,0.39,-1.11,-1.44
001,2024,5.73,3.37,44.3,56.3,56.9,46.2,84.1,84.7,85.2,-2.96,-2.14,-2.17,-2.42,1.55,-0.74,-0.46,-2.49
001,2025,3.5,6.04,44.2,51.5,56.9,50,87,83.6,84.67,-2.07,-0.97,-1.41,-1.48,2.66,-1.63,0.45,-2.43
003,1980,8.55,9.27,43.8,54.3,60.2,42.1,95.6,93.6,92.17,-1.1,-1.32,-2.03,-1.48,-1,-2.55,-1.07,-1.35
003,1981,6.8,3.6,51.5,51.1,54.4,44.8,88.6,86.1,87,1.31,2.47,2.58,2.12,3.9,1.07,2.05,1.02
003,1982,14.2,4.7,41.9,58.1,56.3,45.8,89.9,86.5,86.3,0.01,-0.03,0.9,0.29,-0.09,2.71,0.89,-1.1
003,1983,6,16.91,40.8,53.1,57.7,48.4,93.6,95.4,91.57,-0.04,-0.83,-2.06,-0.98,-2.39,-3.94,-2.15,3.41
003,1984,10.96,12.03,44.9,51.8,55.7,53.8,88.7,88.3,88.67,-0.69,-0.6,-1.22,-0.84,0.04,-2.03,-1.35,0.54
003,1985,11.73,14.93,49.5,56,57.4,50.9,90.6,84.8,86.57,3.16,2.45,3.57,3.06,-1.14,4.1,1.72,2.7
