county_ansi,year,pcp04,pcp05,pcp06,pcp07,pcp08,pcp09,tmp04,tmp05,tmp06,tmp07,tmp08,tmp09
001,1980,1.93,3.52,3.33,2.87,6.29,5.86,51.6,64.5,72.2,81.5,78.7,68.7
001,1981,5.24,7.23,6.79,12.81,2.95,1.91,59.3,58.8,72.8,76,72.3,65.9
001,1982,3.16,4.89,4.93,6.92,3.79,2.89,47.9,67.2,67.3,76.8,72,65.4
001,1983,6.81,3.78,1.52,1.06,1.98,3.37,46.4,59.2,72.9,81.4,81.5,68.2
001,1984,4.74,5.8,3.72,5.52,0.77,4.73,50.8,60.5,75.2,74.9,76.4,64.6
001,1985,1.14,3.79,3.14,5.96,4.99,3.29,58,65.4,69,75.4,70.6,67
001,1986,1.92,5.26,4.17,7.49,1.49,9.88,57.2,64.9,74.8,78.6,69.9,69.9
001,1987,2.14,2.7,2.77,4.4,6.25,2.31,54.6,68.8,75.5,79.2,75.6,66.8
001,1988,1.33,2.11,2.4,0.68,3.24,1.55,52.8,65.8,74.5,78.5,79.2,68.8
001,1989,2.66,3.16,2.03,3.25,4.31,3.43,53.1,60.5,70.7,77.7,74.2,63.4
001,1990,2.22,7.83,7.28,4.51,2.6,2.28,51.2,58.7,72.7,75.7,74.5,69.5
001,1991,4.35,12.35,1.19,3.86,2.06,3.21,56.8,68.4,76,76.8,74.6,66.7
001,1992,3.91,0.69,0.98,8.53,1.1,3.98,51.5,61.9,69.9,74,68.6,64.7
001,1993,4.77,3.04,6.79,8.58,5.07,9.74,49.8,63.4,71.3,76.1,76,61.5
001,1994,7.05,3.21,4.44,2.17,3.18,1.68,53.1,61.5,74.4,74.3,72.3,65.8
001,1995,4.81,10.88,2.66,2.97,8.63,2.72,49.8,59.2,71.6,76.8,78.9,62.3
001,1996,2.13,9.92,3.21,2.64,3.14,2.74,49.2,62.1,71.7,73.4,73.6,63.7
001,1997,3.37,3.93,1.98,1.83,4.08,1.5,48,58,71.4,76.2,72.4,67.4
001,1998,4.91,5.04,8.96,2.59,1.53,4.53,52.6,67.5,71.7,76.4,76.1,71.6
001,1999,5.6,3.34,3.7,2.06,1.77,2.8,54.9,63.9,72.2,79.6,73.2,65.1
001,2000,1.44,3.33,7.19,3.86,4.18,2.66,52.8,65.6,70.1,74.4,76.2,67.8
001,2001,3.18,5.78,4.83,2.2,4.69,3.27,58.3,64.7,70.4,77.4,75,65.1
001,2002,5.62,9.02,4.27,4.05,4.74,0.96,53.8,59.4,74.3,78.5,75,69.3
001,2003,3.77,3.37,4.04,5,2.94,6.42,54,61.8,68.8,75.5,76.2,63.4
