column,dtype,non_null,nulls,distinct,min,max,example
state,text,4459,0,1,,,ILLINOIS
state_ansi,number,4459,0,1,17.0,17.0,17
county,text,4459,0,102,,,ADAMS
county_ansi,text,4459,0,102,,,001
fips5,text,4459,0,102,,,17001
ag_district,text,4459,0,9,,,WEST
ag_district_code,number,4459,0,9,10.0,90.0,30
year,number,4459,0,46,1980.0,2025.0,1980
produced_soy,number,4459,0,1,1.0,1.0,1.0
acres_planted,number,4459,0,1234,1100.0,329000.0,126800
acres_harvested,number,4459,0,1671,800.0,328400.0,126000
production_bu,number,4459,0,4177,17700.0,22634000.0,4070000
yield_bu_ac,number,4459,0,439,13.0,80.4,32.5
yield_kg_ha,number,4459,0,439,874.263,5406.978,2185.6563668250924
production_tonnes,number,4459,0,4177,481.714,615995.627,110767.085
area_harvested_ha,number,4459,0,1671,323.749,132898.765,50990.390892
pcp04,number,4459,0,839,0.66,16.93,1.93
pcp05,number,4459,0,958,0.36,15.0,3.52
pcp06,number,4459,0,963,0.2,13.34,3.33
pcp07,number,4459,0,904,0.3,13.44,2.87
pcp08,number,4459,0,820,0.03,13.22,6.29
pcp09,number,4459,0,863,0.02,12.49,5.86
tmp04,number,4459,0,224,38.7,63.2,51.6
tmp05,number,4459,0,205,52.1,74.1,64.5
tmp06,number,4459,0,161,61.5,80.5,72.2
tmp07,number,4459,0,180,66.2,85.3,81.5
tmp08,number,4459,0,180,64.6,83.4,78.7
tmp09,number,4459,0,175,57.0,76.5,68.7
pcp_win,number,4459,0,1228,1.85,22.83,5.59
pcp_prevND,number,4459,0,1156,0.92,18.21,3.9
tmin04,number,4459,0,220,27.5,51.9,40.5
tmin05,number,4459,0,210,41.0,63.4,53.1
tmin09,number,4459,0,174,46.4,65.6,56.8
tmin10,number,4459,0,209,32.3,54.6,40.2
tmax07,number,4459,0,209,75.7,97.9,93.4
tmax08,number,4459,0,200,75.5,96.3,90.1
tmax_jja,number,4459,0,432,75.67,92.67,89.03
pdsi06,number,4459,0,932,-4.89,7.09,-3.13
pdsi07,number,4459,0,970,-5.42,8.0,-3.27
pdsi08,number,4459,0,991,-5.67,8.41,0.58
pdsi_jja,number,4459,0,927,-5.05,7.58,-1.94
zndx07,number,4459,0,992,-5.4,10.47,-1.36
zndx08,number,4459,0,928,-4.04,9.51,1.74
zndx_jja,number,4459,0,742,-4.37,6.16,-0.09
pdsi_may,number,4459,0,892,-5.16,6.87,-3.25
pcp_grow,number,4459,0,2258,8.25,44.29,23.8
pcp_critical,number,4459,0,1398,1.39,19.83,9.16
pcp_summer,number,4459,0,1748,3.09,29.29,12.49
tmp_grow,number,4459,0,1169,59.683,74.133,69.53333333333333
tmp_critical,number,4459,0,392,66.1,82.15,80.1
tmp_summer,number,4459,0,646,65.667,80.967,77.46666666666665
tmax_critical,number,4459,0,438,76.1,95.05,91.75
tmax_summer,number,4459,0,432,75.67,92.67,89.03
tmp_range_crit,number,4459,0,977,28.45,46.8,43.25
pcp_grow_cv,number,4459,0,4459,0.075,1.216,0.4357500613336311
tmp_grow_sd,number,4459,0,4405,5.565,13.634,10.788635996578376
pdsi_critical,number,4459,0,1877,-5.39,7.83,-1.345
zndx_critical,number,4459,0,1764,-4.125,6.715,0.1899999999999999
drought_flag,number,4459,0,2,0.0,1.0,0
severe_drought,number,4459,0,2,0.0,1.0,0
hot_month_count,number,4459,0,3,0.0,2.0,2
dry_month_count,number,4459,0,3,0.0,2.0,0
heat_x_dry,number,4459,0,4374,-792.183,380.568,-159.645
pcp_grow_anom,number,4459,0,4379,-14.985,19.287,-0.6999999999999993
pcp_grow_z,number,4459,0,4427,-2.97,3.342,-0.1098753893014567
pcp_critical_anom,number,4459,0,4323,-6.069,12.454,1.1706521739130435
pcp_critical_z,number,4459,0,4399,-2.225,4.014,0.3659652406097301
pcp08_anom,number,4459,0,4176,-3.73,9.029,2.671521739130435
pcp08_z,number,4459,0,4290,-2.072,4.2,1.238645295020522
tmp_grow_anom,number,4459,0,3997,-3.785,3.226,1.5391304347826065
tmp_grow_z,number,4459,0,4239,-2.712,2.353,1.0951987471820317
tmp_critical_anom,number,4459,0,3443,-5.48,5.922,4.522826086956513
tmp_critical_z,number,4459,0,3976,-2.589,2.74,2.094966258997486
tmax_critical_anom,number,4459,0,3577,-6.299,7.77,5.819565217391315
tmax_critical_z,number,4459,0,3999,-2.505,2.917,2.1171392519275067
tmax08_anom,number,4459,0,2986,-5.883,9.111,5.010869565217391
tmax08_z,number,4459,0,3666,-2.146,3.108,1.6133261691679324
pdsi08_anom,number,4459,0,4226,-6.236,7.695,0.0593478260869565
pdsi08_z,number,4459,0,4361,-2.775,2.804,0.0230998779959397
zndx08_anom,number,4459,0,4128,-4.696,9.031,1.6108695652173912
zndx08_z,number,4459,0,4331,-2.183,4.016,0.7450419944686475
climate_normal_pcp,number,4459,0,102,7.124,8.869,7.989347826086957
climate_normal_tmax,number,4459,0,102,81.79,88.767,85.93043478260869
trend_slope,number,4459,0,102,0.29,0.846,0.6011752914819951
yield_trend,number,4459,0,4459,21.158,73.764,30.08456653973917
yield_anom,number,4459,0,4459,-24.147,18.1,2.4154334602608287
log_yield,number,4459,0,439,2.565,4.387,3.481240089335692
n_years_county,number,4459,0,12,28.0,46.0,43
in_balanced_panel,number,4459,0,2,0.0,1.0,1
is_focal,number,4459,0,2,0.0,1.0,0
