variable,count,mean,std,min,25%,50%,75%,max,cv_%
yield_bu_ac,4459.0,44.598,11.511,13.0,36.5,44.0,51.8,80.4,25.8
yield_kg_ha,4459.0,2999.247,774.133,874.263,2454.66,2959.042,3483.6,5406.978,25.8
yield_anom,4459.0,0.0,5.366,-24.147,-2.936,0.707,3.639,18.1,5301384836395938.0
acres_planted,4459.0,96890.446,58817.976,1100.0,56000.0,91000.0,122200.0,329000.0,60.7
production_bu,4459.0,4464509.419,3244149.936,17700.0,2221700.0,3828000.0,5857300.0,22634000.0,72.7
pcp_grow,4459.0,23.915,5.456,8.25,20.19,23.8,27.34,44.29,22.8
pcp_critical,4459.0,7.723,2.837,1.39,5.72,7.46,9.33,19.83,36.7
tmp_grow,4459.0,67.553,2.411,59.683,65.867,67.667,69.3,74.133,3.6
tmax_critical,4459.0,85.533,3.079,76.1,83.5,85.4,87.45,95.05,3.6
pdsi08,4459.0,0.604,2.293,-5.67,-1.1,0.7,2.32,8.41,379.5
zndx08,4459.0,0.202,2.058,-4.04,-1.21,-0.05,1.335,9.51,1017.7
