variable,r_detrended,r2,r_raw_yield,r_champaign,n
zndx_critical,0.4902,0.2403,0.3112,0.4525,4459
pcp_critical_z,0.4764,0.227,0.2786,0.3938,4459
tmax08_anom,-0.4691,0.2201,-0.286,-0.4263,4459
zndx08_z,0.4684,0.2194,0.2361,0.4436,4459
pcp_critical_anom,0.467,0.2181,0.273,0.3938,4459
tmax08_z,-0.4662,0.2174,-0.282,-0.4263,4459
pcp_critical,0.4636,0.2149,0.2955,0.3938,4459
heat_x_dry,-0.463,0.2144,-0.2652,-0.4476,4459
zndx08_anom,0.457,0.2089,0.2266,0.4436,4459
zndx08,0.4533,0.2055,0.2572,0.4436,4459
tmax_critical_z,-0.4361,0.1902,-0.2988,-0.4679,4459
tmax_critical_anom,-0.4338,0.1882,-0.2978,-0.4679,4459
zndx_jja,0.4053,0.1642,0.2735,0.4524,4459
tmp_range_crit,-0.404,0.1632,-0.4068,-0.4603,4459
pcp_summer,0.3902,0.1523,0.2957,0.4476,4459
tmax08,-0.3859,0.149,-0.4298,-0.4263,4459
pdsi08_z,0.3608,0.1302,0.2507,0.3061,4459
pcp08_z,0.3571,0.1275,0.1476,0.3234,4459
pdsi08_anom,0.3518,0.1238,0.2436,0.3061,4459
pdsi08,0.3494,0.1221,0.2449,0.3061,4459
tmax_critical,-0.3487,0.1216,-0.4431,-0.4679,4459
pcp08_anom,0.3478,0.121,0.1388,0.3234,4459
pcp08,0.342,0.117,0.1837,0.3234,4459
tmp_critical_z,-0.3395,0.1153,-0.1887,-0.3481,4459
zndx07,0.3367,0.1134,0.2424,0.3086,4459
tmp_critical_anom,-0.3331,0.1109,-0.1858,-0.3481,4459
pcp07,0.317,0.1005,0.2325,0.2525,4459
pdsi_critical,0.3002,0.0901,0.2283,0.2989,4459
tmp08,-0.2873,0.0826,-0.3531,-0.2739,4459
tmax_jja,-0.2871,0.0824,-0.3588,-0.3918,4459
tmax_summer,-0.2871,0.0824,-0.3588,-0.3918,4459
tmp_critical,-0.2493,0.0622,-0.3761,-0.3481,4459
tmax07,-0.2434,0.0592,-0.3733,-0.3969,4459
pdsi07,0.2342,0.0549,0.1995,0.2584,4459
pdsi_jja,0.2307,0.0532,0.1969,0.2626,4459
tmp_summer,-0.1872,0.0351,-0.2915,-0.2735,4459
pcp_grow_z,0.1806,0.0326,0.1842,0.2366,4459
pcp_grow_anom,0.1782,0.0318,0.1803,0.2366,4459
pcp_grow_cv,-0.1768,0.0313,-0.098,-0.1797,4459
pcp_grow,0.1768,0.0312,0.1359,0.2366,4459
tmp_grow_sd,-0.1725,0.0298,-0.0768,-0.06,4459
tmp07,-0.1469,0.0216,-0.308,-0.2981,4459
tmp_grow_z,-0.134,0.018,0.1331,-0.2114,4459
pcp04,-0.1339,0.0179,-0.0467,0.0011,4459
tmp_grow_anom,-0.1321,0.0175,0.1339,-0.2114,4459
tmin10,0.1271,0.0161,0.0303,0.2349,4459
pcp_prevND,-0.123,0.0151,-0.3733,-0.1222,4459
tmin09,0.1221,0.0149,0.0509,0.1322,4459
pcp05,-0.0914,0.0084,-0.0815,-0.174,4459
pcp06,0.0755,0.0057,0.1269,0.2469,4459
tmp_grow,-0.0749,0.0056,-0.2001,-0.2114,4459
tmin05,0.0665,0.0044,-0.0158,-0.0766,4459
pdsi06,0.0591,0.0035,0.1074,0.1531,4459
pcp_win,0.0547,0.003,-0.0932,0.1459,4459
tmp05,0.0497,0.0025,-0.0368,-0.0498,4459
tmp09,0.0301,0.0009,0.0226,0.0802,4459
pdsi_may,-0.0295,0.0009,0.0579,-0.0274,4459
pcp09,-0.0205,0.0004,-0.0519,-0.0969,4459
tmp06,-0.0111,0.0001,-0.0412,0.0195,4459
tmin04,0.0048,0.0,-0.208,-0.1345,4459
tmp04,0.0028,0.0,-0.164,-0.1254,4459
