model,term,coef,se,t,p,ci_low,ci_high
M1 Baseline pooled OLS,Intercept,24.49485,2.79478,8.7645,0.0,19.01718,29.97252
M1 Baseline pooled OLS,PCP,0.73601,0.04409,16.69341,0.0,0.6496,0.82243
M1 Baseline pooled OLS,TMX,-0.3531,0.03163,-11.16388,0.0,-0.41509,-0.29111
M2 Quadratic + interaction,Intercept,-323.14149,52.7606,-6.12467,0.0,-426.55036,-219.73262
M2 Quadratic + interaction,PCP,-5.53692,1.22372,-4.52467,1e-05,-7.93536,-3.13847
M2 Quadratic + interaction,PCP2,-0.07083,0.00642,-11.02587,0.0,-0.08342,-0.05824
M2 Quadratic + interaction,TMX,8.22267,1.15656,7.10962,0.0,5.95587,10.48948
M2 Quadratic + interaction,TMX2,-0.05331,0.00636,-8.38643,0.0,-0.06576,-0.04085
M2 Quadratic + interaction,PT,0.08802,0.01361,6.46909,0.0,0.06136,0.11469
M3 M2 + county FE,Intercept,-293.72347,55.54662,-5.28787,0.0,-402.59284,-184.85409
M3 M2 + county FE,PCP,-5.05509,1.32183,-3.82432,0.00013,-7.64583,-2.46436
M3 M2 + county FE,PCP2,-0.06628,0.00667,-9.93647,0.0,-0.07936,-0.05321
M3 M2 + county FE,TMX,7.69132,1.21393,6.3359,0.0,5.31206,10.07057
M3 M2 + county FE,TMX2,-0.051,0.00664,-7.67673,0.0,-0.06403,-0.03798
M3 M2 + county FE,PT,0.08091,0.01467,5.51361,0.0,0.05215,0.10967
M4 Two-way FE (county + year),Intercept,-326.65032,64.33754,-5.07713,0.0,-452.74958,-200.55107
M4 Two-way FE (county + year),PCP,-3.97846,1.3223,-3.00875,0.00262,-6.57011,-1.38681
M4 Two-way FE (county + year),PCP2,-0.06248,0.00697,-8.96801,0.0,-0.07614,-0.04883
M4 Two-way FE (county + year),TMX,8.77018,1.39042,6.30756,0.0,6.045,11.49536
M4 Two-way FE (county + year),TMX2,-0.0581,0.00757,-7.68029,0.0,-0.07293,-0.04328
M4 Two-way FE (county + year),PT,0.06475,0.01446,4.47795,1e-05,0.03641,0.09309
M5 Palmer Z specification,Intercept,-551.7241,41.67925,-13.23738,0.0,-633.41393,-470.03427
M5 Palmer Z specification,zndx08,1.17966,0.06371,18.51524,0.0,1.05478,1.30453
M5 Palmer Z specification,I(zndx08 ** 2),-0.15243,0.0123,-12.39143,0.0,-0.17654,-0.12832
M5 Palmer Z specification,TMX,13.39193,0.97985,13.66737,0.0,11.47147,15.3124
M5 Palmer Z specification,TMX2,-0.08097,0.00576,-14.05595,0.0,-0.09226,-0.06968
"M6 Raw yield, two-way FE",Intercept,-1442.55962,65.60475,-21.98865,0.0,-1571.14257,-1313.97668
"M6 Raw yield, two-way FE",PCP,-5.76915,1.37402,-4.19874,3e-05,-8.46218,-3.07612
"M6 Raw yield, two-way FE",PCP2,-0.06877,0.00693,-9.92184,0.0,-0.08236,-0.05519
"M6 Raw yield, two-way FE",TMX,7.6828,1.28021,6.0012,0.0,5.17363,10.19196
"M6 Raw yield, two-way FE",TMX2,-0.05149,0.00703,-7.32862,0.0,-0.06526,-0.03772
"M6 Raw yield, two-way FE",PT,0.08977,0.01533,5.85673,0.0,0.05973,0.11982
"M6 Raw yield, two-way FE",year,0.59755,0.00933,64.05388,0.0,0.57927,0.61584
"M7 Log yield, county FE",Intercept,-31.05801,1.64351,-18.89733,0.0,-34.27924,-27.83678
"M7 Log yield, county FE",PCP,-0.21652,0.03555,-6.09079,0.0,-0.28619,-0.14684
"M7 Log yield, county FE",PCP2,-0.00158,0.00019,-8.36838,0.0,-0.00195,-0.00121
"M7 Log yield, county FE",TMX,0.23917,0.03363,7.11158,0.0,0.17325,0.30508
"M7 Log yield, county FE",TMX2,-0.00162,0.00019,-8.66576,0.0,-0.00198,-0.00125
"M7 Log yield, county FE",PT,0.00306,0.00041,7.51092,0.0,0.00226,0.00386
"M7 Log yield, county FE",year,0.01297,0.00016,81.64671,0.0,0.01266,0.01328
