model,split,RMSE,MAE,R2,MAPE,bias,err_sd,validation,skill_vs_baseline_%
Baseline: trend only (anomaly=0),test,4.8946,4.1192,-0.3661,100.0,-2.5338,4.1877,fixed split,
Linear Regression,validation,3.846,3.0337,-0.07,264.4934,-0.197,3.841,fixed split,
Linear Regression,test,4.1257,3.3378,0.0294,210.7338,-0.9618,4.012,fixed split,
Ridge,validation,3.8367,3.0317,-0.0648,264.9304,-0.2069,3.8311,fixed split,
Ridge,test,4.1242,3.337,0.0301,210.5584,-0.9742,4.0075,fixed split,
Random Forest,validation,4.3788,3.3648,-0.3869,198.0499,-1.7662,4.0068,fixed split,
Random Forest,test,4.1365,3.399,0.0243,153.835,-2.0368,3.6003,fixed split,
Gradient Boosting,validation,4.059,3.0253,-0.1918,192.4875,-1.5341,3.7579,fixed split,
Gradient Boosting,test,3.9897,3.2651,0.0924,181.0078,-1.9693,3.4697,fixed split,
HistGBM (XGB-class),validation,4.2328,3.2285,-0.296,192.0563,-1.637,3.9034,fixed split,
HistGBM (XGB-class),test,3.925,3.166,0.1215,146.2782,-1.6473,3.5626,fixed split,
Gradient Boosting,rolling test,4.8435,3.6803,0.284,265.262,0.916,4.7561,expanding window,15.74
HistGBM (XGB-class),rolling test,4.8703,3.7064,0.2761,251.1897,0.9074,4.7851,expanding window,15.27
Random Forest,rolling test,4.8953,3.7226,0.2686,243.3303,0.8689,4.8175,expanding window,14.84
Linear Regression,rolling test,5.0896,3.8922,0.2094,279.0178,1.3931,4.8953,expanding window,11.46
Ridge,rolling test,5.0946,3.8962,0.2078,278.5881,1.3912,4.901,expanding window,11.37
Baseline: trend only (anomaly=0),rolling test,5.7481,4.4237,-0.0084,100.0,0.5243,5.7241,expanding window,0.0
