feature,importance,sd
pcp_critical,0.10590024536017563,0.012563979044083089
pcp_grow,0.07805773884321043,0.008427416810285157
tmax08,0.06729628496347599,0.012641571573706132
pdsi_critical,0.05936829134053584,0.006042452966190454
heat_x_dry,0.05211753698264826,0.010578669084883259
pcp_grow_cv,0.035417664802284386,0.0036450376417526166
tmp_grow_sd,0.029086894040266337,0.011440573057221674
tmax_critical,0.02624215163296913,0.003726541479603507
tmp_grow,0.01384584986572481,0.00614900706283726
zndx07,0.009498669029699999,0.0038748787280522964
pcp_win,0.009164213262918228,0.00362067008981126
zndx08,0.00685519667667478,0.001977725245451709
tmin10,0.006327612336720957,0.00829211050604304
pdsi08,0.005123189221257411,0.0015724120996093672
dry_month_count,0.004633245802781229,0.0027097415901027578
pcp08,0.003165863206146896,0.001273557238933471
pcp07,0.00048221044278204395,0.0013913493542212106
climate_normal_pcp,0.0004280474221173373,0.00078059679442618
hot_month_count,-0.00012247735074164914,0.00018873192385881988
climate_normal_tmax,-0.015087312155602458,0.0019836885509940073
