county,fips5,ag_district,n,r_moisture,r_precip,r_heat,beta_moisture_bu_per_sd,beta_heat_bu_per_sd,yield_recent,trend,volatility,normal_pcp,normal_tmax,sensitivity_index
WAYNE,17191,SOUTHEAST,45,0.6933,0.6886,-0.6221,2.9871,-2.0112,50.14,0.6238,5.951,7.6122,87.4956,0.9725
RICHLAND,17159,EAST SOUTHEAST,44,0.6867,0.5912,-0.6245,3.2225,-2.4092,52.7,0.5935,6.467,7.9002,86.8205,0.9725
MASSAC,17127,SOUTHEAST,44,0.6019,0.5501,-0.7026,1.6701,-3.0217,49.3889,0.6122,5.6737,7.7905,88.4852,0.9121
FRANKLIN,17055,SOUTHEAST,46,0.6043,0.5737,-0.6455,2.162,-2.6085,46.9273,0.5623,5.6451,7.2752,87.6391,0.9066
CLAY,17025,EAST SOUTHEAST,46,0.679,0.7103,-0.5637,3.5962,-2.0616,51.2909,0.6455,6.7846,7.9537,86.7957,0.9066
EDWARDS,17047,SOUTHEAST,42,0.6182,0.5787,-0.6135,2.254,-2.1818,53.4857,0.5649,5.8249,7.7324,87.5762,0.8956
WABASH,17185,SOUTHEAST,44,0.6166,0.5917,-0.579,2.0067,-1.5953,55.2444,0.59,4.725,7.6795,87.3807,0.8846
WILLIAMSON,17199,SOUTHWEST,44,0.5937,0.5729,-0.6154,1.9811,-2.2409,45.5333,0.546,5.4038,7.3611,87.6398,0.8626
JEFFERSON,17081,SOUTHEAST,46,0.6488,0.6223,-0.5236,3.0307,-1.3038,45.3182,0.5318,5.8309,7.4315,87.3543,0.8187
WHITE,17193,SOUTHEAST,45,0.551,0.4858,-0.5711,1.8422,-2.0786,53.5,0.6515,5.3915,7.5091,87.8122,0.8187
SCHUYLER,17169,WEST,43,0.5314,0.6285,-0.6423,1.4285,-2.4126,59.175,0.6568,4.7817,7.7579,85.5791,0.8132
SALINE,17165,SOUTHEAST,42,0.5271,0.468,-0.6529,1.4682,-3.0221,53.2,0.6378,5.8178,7.345,87.8262,0.8077
MARION,17121,EAST SOUTHEAST,46,0.6763,0.6617,-0.509,3.6875,-1.3003,52.3909,0.6765,6.4994,7.7517,86.9315,0.8077
ST CLAIR,17163,SOUTHWEST,46,0.6285,0.6571,-0.5275,2.5547,-1.4819,52.0545,0.5035,5.2567,7.308,88.1913,0.8077
WASHINGTON,17189,SOUTHWEST,46,0.6185,0.6767,-0.53,3.3465,-1.9409,49.5727,0.5579,7.1382,7.1965,87.6565,0.8022
CLINTON,17027,SOUTHWEST,45,0.6565,0.6776,-0.4989,3.5279,-1.432,54.1,0.6524,6.4911,7.3211,87.6478,0.7747
COLES,17029,EAST SOUTHEAST,43,0.5433,0.6479,-0.5643,1.9457,-2.1771,67.1125,0.7617,5.5682,7.3742,85.3279,0.7747
SHELBY,17173,EAST SOUTHEAST,45,0.6237,0.7002,-0.5117,2.7052,-1.6238,62.06,0.7294,5.4666,7.6213,85.7378,0.7747
JACKSON,17077,SOUTHWEST,43,0.5219,0.6057,-0.5738,1.3691,-1.8704,47.9875,0.5177,4.526,6.9079,88.2035,0.7582
FORD,17053,EAST,44,0.5401,0.5273,-0.5537,2.6722,-2.8174,61.6889,0.6394,6.8362,7.9098,84.1148,0.7527
FAYETTE,17051,EAST SOUTHEAST,44,0.5482,0.6679,-0.5387,2.1452,-2.0314,55.0667,0.7222,5.8191,7.6586,86.5295,0.7473
GALLATIN,17059,SOUTHEAST,43,0.5139,0.489,-0.5663,1.7229,-2.2203,53.425,0.5885,5.275,7.4584,87.9233,0.7198
JASPER,17079,EAST SOUTHEAST,44,0.5911,0.5806,-0.5035,2.5283,-1.5622,56.1667,0.6153,5.5831,7.9668,86.1568,0.7033
MORGAN,17137,WEST SOUTHWEST,44,0.5992,0.5647,-0.4978,2.4704,-1.448,66.2556,0.6723,5.2742,7.4927,85.9341,0.6923
MACON,17115,CENTRAL,45,0.5129,0.6394,-0.552,1.8324,-2.2766,70.89,0.8238,5.7603,7.528,85.1422,0.6758
EFFINGHAM,17049,EAST SOUTHEAST,46,0.5743,0.6061,-0.4975,2.6916,-1.791,58.3455,0.7488,6.1661,7.917,86.1054,0.6703
CASS,17017,WEST SOUTHWEST,43,0.5493,0.6616,-0.4993,2.0814,-1.5131,64.2375,0.6815,5.2659,7.5009,85.9628,0.6703
PULASKI,17153,SOUTHWEST,45,0.519,0.4013,-0.5314,1.2691,-1.3892,48.54,0.5793,4.0133,7.3838,88.7033,0.6703
ADAMS,17001,WEST,43,0.5143,0.5678,-0.5334,1.6573,-1.8236,56.325,0.6012,4.8114,7.9588,86.0116,0.6648
MONTGOMERY,17135,WEST SOUTHWEST,44,0.6155,0.7275,-0.4644,2.9751,-1.3925,63.8667,0.7799,5.8359,7.4225,86.0966,0.6593
RANDOLPH,17157,SOUTHWEST,46,0.6306,0.7239,-0.441,2.6486,-0.9889,48.4455,0.5226,4.8923,7.1865,88.2141,0.6593
PERRY,17145,SOUTHWEST,46,0.6274,0.6916,-0.4446,3.438,-1.1971,45.5364,0.4948,6.3927,7.1241,87.8076,0.6538
LIVINGSTON,17105,EAST,46,0.4926,0.5325,-0.5395,2.2334,-2.6961,62.6455,0.6926,6.4379,7.7957,84.0848,0.6484
MONROE,17133,SOUTHWEST,46,0.6486,0.6627,-0.4198,3.0022,-0.8392,49.8364,0.463,5.2091,7.4439,88.437,0.6429
MENARD,17129,CENTRAL,43,0.5158,0.5349,-0.5236,1.7649,-1.8572,65.2111,0.6664,5.3856,7.4772,85.6209,0.6374
MOULTRIE,17139,EAST SOUTHEAST,45,0.497,0.5893,-0.5291,1.8359,-2.1937,67.7,0.7477,5.8122,7.4047,85.2889,0.6209
MADISON,17119,WEST SOUTHWEST,46,0.5994,0.671,-0.4482,2.8273,-1.2167,57.7091,0.6704,5.6662,7.55,87.4174,0.6154
SCOTT,17171,WEST SOUTHWEST,42,0.4169,0.49,-0.569,0.9384,-2.3622,62.2,0.6836,4.9325,7.3888,86.4167,0.6099
MACOUPIN,17117,WEST SOUTHWEST,46,0.5585,0.6604,-0.4503,2.6021,-1.4024,64.0455,0.7599,5.8459,7.527,86.2467,0.6044
BOND,17005,WEST SOUTHWEST,43,0.5098,0.655,-0.5134,2.3149,-2.3668,57.1667,0.749,6.9571,7.3928,87.0314,0.6044
CRAWFORD,17033,EAST SOUTHEAST,46,0.5382,0.5997,-0.4878,2.183,-1.6467,57.2636,0.6605,5.5263,7.7496,86.2652,0.5989
LAWRENCE,17101,EAST SOUTHEAST,45,0.5296,0.5464,-0.4829,1.7349,-1.3505,55.18,0.6453,4.4487,7.664,86.8711,0.5824
CALHOUN,17013,WEST SOUTHWEST,42,0.4178,0.5461,-0.5491,0.6429,-1.8235,55.3375,0.5703,3.9739,7.5033,87.2345,0.5769
MASON,17125,CENTRAL,45,0.4145,0.5197,-0.56,1.108,-2.6978,62.02,0.7011,5.7538,7.4802,85.7911,0.5769
JERSEY,17083,WEST SOUTHWEST,43,0.4789,0.5975,-0.5049,1.4443,-1.6879,60.275,0.688,4.7498,7.6247,87.0442,0.5604
CHRISTIAN,17021,WEST SOUTHWEST,43,0.5475,0.6448,-0.4264,2.045,-1.0183,67.0,0.7367,4.5886,7.307,85.8302,0.544
GRUNDY,17063,NORTHEAST,44,0.3541,0.3754,-0.5658,1.0183,-2.6752,57.2667,0.5625,5.308,7.7132,83.8932,0.544
IROQUOIS,17075,EAST,46,0.4907,0.4223,-0.4921,2.1281,-2.1428,58.9636,0.5777,6.0912,7.9126,84.0424,0.522
WILL,17197,NORTHEAST,45,0.513,0.3569,-0.4531,2.045,-1.6227,54.42,0.5566,4.933,8.1158,83.5089,0.511
BROWN,17009,WEST,45,0.3675,0.4637,-0.5369,0.7778,-2.3837,58.28,0.6596,5.108,7.6513,85.7622,0.511
KANKAKEE,17091,EAST,44,0.4374,0.3241,-0.4947,1.753,-2.212,55.2333,0.527,5.555,7.9911,83.767,0.4945
DOUGLAS,17041,EAST SOUTHEAST,45,0.4508,0.4543,-0.468,1.7272,-1.9085,68.25,0.726,5.7581,7.4487,85.0989,0.4725
CHAMPAIGN,17019,EAST,44,0.4436,0.3938,-0.4679,1.7404,-1.9582,66.6333,0.7162,5.5802,7.7198,84.6477,0.4615
VERMILION,17183,EAST,45,0.4332,0.3872,-0.472,1.5152,-1.8678,66.76,0.782,5.2941,7.9393,84.4289,0.456
PIKE,17149,WEST SOUTHWEST,42,0.5282,0.538,-0.3754,1.9226,-0.6521,58.6429,0.6347,4.2448,7.6486,86.4214,0.4451
LOGAN,17107,CENTRAL,43,0.4533,0.4064,-0.4485,1.6935,-1.6538,67.6125,0.6976,5.1297,7.6065,85.2698,0.4451
WINNEBAGO,17201,NORTHWEST,46,0.5391,0.5296,-0.2655,2.9824,-0.6075,57.0455,0.5601,5.8932,8.2883,82.6315,0.4231
CUMBERLAND,17035,EAST SOUTHEAST,43,0.4754,0.564,-0.422,1.7883,-1.2719,59.7,0.7047,5.042,7.5409,85.7849,0.4176
CLARK,17023,EAST SOUTHEAST,44,0.4361,0.5174,-0.4357,1.5472,-1.544,61.5333,0.694,5.2345,7.682,85.7898,0.4011
HANCOCK,17067,WEST,44,0.3606,0.4565,-0.4942,1.0367,-2.1499,65.1778,0.7604,5.1516,8.0311,85.3409,0.4011
SANGAMON,17167,WEST SOUTHWEST,46,0.4821,0.5783,-0.3772,2.079,-1.0297,70.6909,0.7751,5.3137,7.503,85.7033,0.3791
PIATT,17147,EAST,45,0.4285,0.4039,-0.4003,1.7635,-1.4615,73.91,0.8455,5.7079,7.7002,84.8678,0.3462
GREENE,17061,WEST SOUTHWEST,45,0.4177,0.4969,-0.4124,1.3798,-1.3264,65.04,0.7636,4.9098,7.3807,86.7033,0.3407
FULTON,17057,WEST,46,0.2172,0.3039,-0.4995,-0.0046,-2.069,60.3,0.6268,4.1381,7.6559,85.238,0.3352
WOODFORD,17203,CENTRAL,46,0.4029,0.3916,-0.4096,1.557,-1.6153,66.5091,0.6666,5.3987,7.7009,84.4522,0.3187
EDGAR,17045,EAST SOUTHEAST,45,0.3207,0.3504,-0.4485,0.8617,-1.9063,65.4,0.7172,4.9966,7.6522,85.0522,0.3077
MARSHALL,17123,CENTRAL,44,0.3758,0.4407,-0.3997,1.4709,-1.6592,63.5889,0.6239,5.3341,7.7918,84.3023,0.2912
STEPHENSON,17177,NORTHWEST,46,0.425,0.3998,-0.1992,2.3533,-0.3379,63.3182,0.638,5.8144,8.6122,82.2424,0.2527
WHITESIDE,17195,NORTHWEST,44,0.3715,0.3673,-0.2945,1.6236,-1.096,64.3889,0.6201,5.1163,8.4216,83.4136,0.2418
MCLEAN,17113,CENTRAL,46,0.3138,0.2817,-0.4046,0.9536,-1.7043,67.6182,0.7331,5.113,7.6852,84.4326,0.2363
OGLE,17141,NORTHWEST,44,0.4241,0.3225,-0.1741,2.3827,-0.1874,62.0111,0.5692,5.7696,8.348,82.6636,0.2253
MCDONOUGH,17109,WEST,43,0.2605,0.3012,-0.4146,0.4352,-1.4404,64.45,0.6764,3.8965,7.8105,84.9512,0.2143
BOONE,17007,NORTHEAST,46,0.3993,0.3806,-0.199,2.5053,-0.5324,59.2,0.6046,6.6999,8.42,82.325,0.2088
TAZEWELL,17179,CENTRAL,46,0.2984,0.2698,-0.3648,0.9085,-1.5018,69.0545,0.743,5.1672,7.6667,85.1152,0.1923
PUTNAM,17155,NORTHWEST,43,0.3066,0.2257,-0.3586,0.9052,-1.228,62.275,0.5565,4.2288,7.7733,84.2372,0.1923
PEORIA,17143,CENTRAL,46,0.3313,0.3787,-0.293,1.1964,-0.8629,65.1818,0.6775,4.7864,7.7204,84.8598,0.1868
CARROLL,17015,NORTHWEST,46,0.3698,0.2278,-0.1026,1.8511,0.1616,67.9818,0.7363,4.8504,8.6354,82.7848,0.1593
LA SALLE,17099,NORTHEAST,45,0.2618,0.2172,-0.3177,0.933,-1.3586,63.04,0.6176,5.2044,7.8211,83.6689,0.1538
WARREN,17187,WEST,42,0.1187,0.1573,-0.3971,-0.1404,-1.6117,63.3571,0.5625,3.9258,7.7938,84.2357,0.1484
STARK,17175,CENTRAL,44,0.2895,0.2836,-0.2624,1.1611,-0.9697,66.8333,0.6144,4.9933,7.8539,83.9114,0.1374
HENRY,17073,NORTHWEST,44,0.2901,0.2518,-0.2554,1.1725,-0.9511,61.9889,0.5617,4.8332,8.0577,83.6148,0.1374
JO DAVIESS,17085,NORTHWEST,45,0.3394,0.2767,-0.1204,2.228,-0.0102,57.81,0.5001,6.5741,8.7707,82.25,0.1319
LAKE,17097,NORTHEAST,43,0.3559,0.5299,0.0309,2.7542,1.1167,51.01,0.5668,6.7029,7.8149,81.8047,0.1264
KANE,17089,NORTHEAST,46,0.3493,0.3501,-0.0957,1.8553,0.0168,60.1727,0.563,5.2979,8.2907,82.7011,0.1209
LEE,17103,NORTHWEST,44,0.2862,0.1965,-0.2069,1.2873,-0.6908,63.1,0.6066,5.2306,8.2702,82.8534,0.1209
HENDERSON,17071,WEST,44,-0.0075,0.0808,-0.3264,-0.5607,-1.6023,63.1556,0.6335,4.3423,7.9923,84.7534,0.1154
DE KALB,17037,NORTHEAST,45,0.3366,0.2162,-0.0959,1.6787,0.0567,62.28,0.5611,4.9346,8.326,82.5367,0.1154
