county,fips5,ag_district,baseline_yield,d_S1 Baseline,d_S2 +1C,d_S3 -10% precip,d_S4 +1C and -10% precip,d_S5 +2C,d_S6 +2C and -20% precip,pct_S4
ADAMS,17001,WEST,42.7372,0.0,-0.3143,-0.3445,-0.744,-0.9451,-2.4843,-1.7409
BOND,17005,WEST SOUTHWEST,38.5907,0.0,-0.0889,-0.0697,-0.4957,-0.5482,-2.0227,-1.2846
BOONE,17007,NORTHEAST,46.5783,0.0,-0.187,-0.2295,-0.461,-0.2526,-1.2141,-0.9896
BROWN,17009,WEST,43.6044,0.0,-0.4132,-0.322,-0.7891,-1.0377,-2.3623,-1.8098
BUREAU,17011,NORTHWEST,51.3043,0.0,-0.2837,-0.2494,-0.4752,-0.6193,-1.8052,-0.9263
CALHOUN,17013,WEST SOUTHWEST,42.2833,0.0,-0.4649,-0.5191,-0.9992,-0.7217,-2.2326,-2.363
CARROLL,17015,NORTHWEST,53.6891,0.0,-0.0855,0.0021,-0.3027,-0.0271,-1.1964,-0.5638
CASS,17017,WEST SOUTHWEST,47.2023,0.0,-0.3885,-0.4967,-1.043,-0.9446,-2.7752,-2.2097
CHAMPAIGN,17019,EAST,50.9205,0.0,0.2203,-0.0331,-0.2391,-0.164,-1.6188,-0.4695
CHRISTIAN,17021,WEST SOUTHWEST,50.5791,0.0,-0.0522,-0.0912,-0.5242,-0.7494,-2.3075,-1.0364
CLARK,17023,EAST SOUTHEAST,44.8977,0.0,0.2122,0.1111,-0.109,-0.4309,-1.6091,-0.2429
CLAY,17025,EAST SOUTHEAST,36.8326,0.0,-0.5585,-0.1588,-0.7868,-1.0359,-1.8496,-2.1361
CLINTON,17027,SOUTHWEST,39.0711,0.0,-0.8322,-0.6229,-1.2883,-1.1002,-2.4141,-3.2973
COLES,17029,EAST SOUTHEAST,49.1884,0.0,-0.0962,-0.2315,-0.6015,-0.619,-1.9464,-1.2229
CRAWFORD,17033,EAST SOUTHEAST,42.3043,0.0,-0.0957,-0.0262,-0.4343,-0.613,-1.7287,-1.0265
CUMBERLAND,17035,EAST SOUTHEAST,43.7279,0.0,-0.1846,-0.1857,-0.5673,-0.8161,-1.9956,-1.2974
DE KALB,17037,NORTHEAST,50.4911,0.0,0.1965,0.1727,-0.0799,-0.0112,-1.1812,-0.1582
DOUGLAS,17041,EAST SOUTHEAST,51.5889,0.0,0.1608,0.0001,-0.371,-0.3298,-2.0069,-0.7191
EDGAR,17045,EAST SOUTHEAST,49.7733,0.0,0.4904,0.3425,0.0653,0.0948,-1.1938,0.1312
EDWARDS,17047,SOUTHEAST,39.6643,0.0,-0.7968,-0.4355,-1.254,-1.0556,-2.0934,-3.1615
EFFINGHAM,17049,EAST SOUTHEAST,42.5804,0.0,-0.0763,-0.0816,-0.4572,-0.7032,-1.7428,-1.0737
FAYETTE,17051,EAST SOUTHEAST,38.8045,0.0,-0.0809,0.0927,-0.372,-0.6329,-1.7366,-0.9587
FORD,17053,EAST,46.9795,0.0,0.1547,-0.3619,-0.4964,-0.0178,-1.7034,-1.0567
FRANKLIN,17055,SOUTHEAST,35.1152,0.0,-0.9576,-0.5831,-1.3804,-1.2529,-2.5453,-3.931
FULTON,17057,WEST,46.8717,0.0,-0.5914,-0.548,-1.1902,-0.9838,-2.8604,-2.5394
GALLATIN,17059,SOUTHEAST,39.9767,0.0,-0.4636,-0.1508,-0.9389,-0.7023,-1.8552,-2.3485
GREENE,17061,WEST SOUTHWEST,47.6267,0.0,-0.9604,-0.8115,-1.6771,-1.3092,-2.812,-3.5213
GRUNDY,17063,NORTHEAST,45.8136,0.0,-0.3941,-0.2961,-0.7006,-0.4066,-1.834,-1.5292
HANCOCK,17067,WEST,47.0477,0.0,-0.1222,-0.2516,-0.6867,-0.655,-2.5667,-1.4596
HENDERSON,17071,WEST,49.2386,0.0,-0.6286,-0.6684,-1.1808,-0.9823,-2.7076,-2.3982
HENRY,17073,NORTHWEST,49.9068,0.0,-0.3677,-0.1863,-0.5866,-0.59,-1.7571,-1.1754
IROQUOIS,17075,EAST,47.1674,0.0,0.2635,0.179,-0.213,0.0456,-1.5474,-0.4517
JACKSON,17077,SOUTHWEST,36.5047,0.0,-1.1444,-1.1629,-1.9218,-1.3969,-3.021,-5.2646
JASPER,17079,EAST SOUTHEAST,41.8705,0.0,-0.2484,-0.1883,-0.5047,-0.8477,-2.0286,-1.2053
JEFFERSON,17081,SOUTHEAST,34.1848,0.0,-0.6832,-0.5334,-1.2082,-1.0389,-2.1935,-3.5343
JERSEY,17083,WEST SOUTHWEST,44.4186,0.0,-0.4657,-0.1762,-0.8288,-0.8544,-2.1022,-1.8658
