check,n,r2,dY_dT,dY_dP,p_TMX,p_PCP,p_interaction
"Reference: balanced panel, two-way FE",4051,0.6677,-0.6637,0.5906,0.0,0.00266,1e-05
All 102 counties (no balance rule),4459,0.6425,-0.6247,0.6185,0.0,0.02478,0.00015
Fully balanced only (28 counties),1288,0.6848,-0.5522,0.7296,9e-05,4e-05,0.0
Trim 1% extreme yield years,3969,0.6472,-0.5186,0.5646,0.0,0.0033,2e-05
Trim 2% extreme precip years,3887,0.6575,-0.6292,0.5839,0.0,0.00064,0.0
"Drop 1988, 2003, 2012",3778,0.6142,-0.3343,0.6105,0.0,0.00139,0.0
Early period only (1980-2002),2093,0.6844,-0.5907,0.7365,0.00292,1e-05,0.0
Late period only (2003-2025),1958,0.6636,-0.8377,0.4524,0.0,0.18772,0.01646
County FE only (no year FE),4051,0.3794,-0.4035,0.8368,0.0,0.00013,0.0
Alternative indicator: growing-season precip,4051,0.6677,-0.6576,0.4468,0.0,0.0,0.0
Target: log yield,4051,0.9059,-0.0187,0.0162,0.0,0.0,0.0
Target: raw yield (trend uncontrolled),4051,0.9182,-0.6977,0.5865,0.0,0.00187,1e-05
Target: yield growth (%),3960,0.5235,-2.5335,1.3975,0.00025,0.82106,0.04219
